Season,M/W,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,3,16,Qu Z.S. ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,1,1,8,10,0,1,1,2,0,0,0,1,1,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,3,17,Wang J.Y. ,-,O,8,5,1,2,-,35.29,5,1,3,9,44.44,1,0,3,4,25,2,1,1,4,25,0,0,0,0,-,4,1,5,60,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,3,20,Rao S.H. ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,3,22,Zhang J.Y. ,-,OH,6,5,1,0,-,17.65,5,1,5,11,36.36,1,1,0,2,0,0,1,3,4,-25,0,0,4,4,0,1,1,2,0,0,0,1,1,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,China,Mexico,3,0,25,25,25,-,-,23,17,23,-,-,3,30,Mao T.Y. ,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,ALL,2,Hernandez ,-,OH,4,3,1,0,-,5.56,3,2,6,11,9.09,1,0,2,3,33.33,0,1,3,4,-25,2,0,5,7,28.57,1,0,1,100,0,0,1,1,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,ALL,3,Bravo ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,2,2,15,19,0,5,7,13,-15.38,0,0,6,6,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,ALL,5,Parra ,-,MB,0,0,0,0,-,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,ALL,8,Mendoza ,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,1,1,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,ALL,9,Rodriguez ,-,MB,8,7,1,0,-,25,7,0,2,9,77.78,1,1,2,4,0,0,2,5,7,-28.57,0,0,0,0,-,0,1,1,-100,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,ALL,10,Sanay ,-,OH,4,4,0,0,-,11.11,4,0,1,5,80,0,1,0,1,-100,0,2,1,3,-66.67,1,2,8,11,-9.09,3,3,6,0,0,0,2,2,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,ALL,11,Lopez B. ,-,O,5,4,1,0,-,16.67,4,1,7,12,25,1,0,1,2,50,0,1,3,4,-25,0,0,0,0,-,0,2,2,-100,0,0,1,1,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,ALL,12,Fuentes ,C,OH,8,8,0,0,-,7.69,8,2,11,21,28.57,0,0,3,3,0,0,3,12,15,-20,5,4,18,27,3.7,8,3,13,38.46,0,0,7,7,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,ALL,13,Garcia ,-,MB,2,1,1,0,-,-21.43,1,1,3,5,0,1,4,6,11,-27.27,0,3,9,12,-25,0,0,0,0,-,0,0,0,-,0,0,1,1,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,ALL,22,Dominguez ,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,ALL,23,Sanchez ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,1,0,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,ALL,33,Maldonado ,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,ALL,48,Milantony ,-,O,11,8,1,2,-,12.5,8,5,7,20,15,1,0,0,1,100,2,2,7,11,0,0,0,0,0,-,2,0,2,100,0,0,1,1,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,ALL,96,Garcia ,-,S,3,1,1,1,-,14.29,1,0,3,4,25,1,0,1,2,50,1,1,6,8,0,0,0,0,0,-,4,2,6,33.33,8,1,59,68,10.29
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,1,2,Hernandez ,-,OH,3,2,1,0,-,14.29,2,1,6,9,11.11,1,0,1,2,50,0,0,3,3,0,1,0,3,4,25,1,0,1,100,0,0,1,1,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,1,3,Bravo ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,4,4,0,1,5,7,-57.14,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,1,5,Parra ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,1,8,Mendoza ,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,1,1,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,1,9,Rodriguez ,-,MB,4,3,1,0,-,22.22,3,0,2,5,60,1,0,0,1,100,0,2,1,3,-66.67,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,1,10,Sanay ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,1,11,Lopez B. ,-,O,5,4,1,0,-,21.43,4,1,3,8,37.5,1,0,1,2,50,0,1,3,4,-25,0,0,0,0,-,0,2,2,-100,0,0,1,1,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,1,12,Fuentes ,C,OH,2,2,0,0,-,9.09,2,0,2,4,50,0,0,2,2,0,0,1,4,5,-20,5,2,5,12,25,2,1,3,33.33,0,0,4,4,0
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,1,13,Garcia ,-,MB,1,1,0,0,-,-10,1,0,1,2,50,0,1,1,2,-50,0,1,5,6,-16.67,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,1,22,Dominguez ,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,1,23,Sanchez ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,Men,1,2024/7/4,Quarter_Finals,Final_Round,Linyi,China,Mexico,China,0,3,23,17,23,-,-,25,25,25,-,-,1,33,Maldonado ,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
