Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Receiver points won,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2024,Men,2,2024/7/4,Quarter_Finals,Linyi,China,Croatia,Belgium,2,3,20,18,25,25,13,25,25,22,15,15,1,3/20 (15%),16/24 (67%),13,11,2,0,-,11,4,5,20,2,6,3,11,0,5,16,21,2,1,15,18,5,4,9,3,0,18,21
2024,Men,2,2024/7/4,Quarter_Finals,Linyi,China,Croatia,Belgium,2,3,20,18,25,25,13,25,25,22,15,15,2,6/18 (33%),12/24 (50%),13,9,4,0,-,9,5,9,23,4,8,1,13,0,5,13,18,4,2,16,22,2,2,4,7,0,15,22
2024,Men,2,2024/7/4,Quarter_Finals,Linyi,China,Croatia,Belgium,2,3,20,18,25,25,13,25,25,22,15,15,3,6/24 (25%),19/23 (83%),19,16,2,1,-,16,2,11,29,2,8,3,13,1,6,18,25,3,1,13,17,9,2,12,5,0,24,29
2024,Men,2,2024/7/4,Quarter_Finals,Linyi,China,Croatia,Belgium,2,3,20,18,25,25,13,25,25,22,15,15,4,13/25 (52%),12/15 (80%),21,11,5,5,-,11,3,6,20,5,3,7,15,5,1,18,24,1,1,11,13,8,2,12,4,1,16,21
2024,Men,2,2024/7/4,Quarter_Finals,Linyi,China,Croatia,Belgium,2,3,20,18,25,25,13,25,25,22,15,15,5,5/14 (36%),8/14 (57%),8,6,2,0,-,6,3,9,18,2,3,6,11,0,1,13,14,4,2,7,13,6,4,11,2,0,17,19
2024,Men,3,2024/7/5,Quarter_Finals,Linyi,China,Ukraine,Chile,3,1,20,25,25,25,-,25,23,19,19,-,ALL,39/96 (41%),56/85 (66%),57,45,7,5,-,45,19,41,105,7,22,23,52,5,15,74,94,18,2,47,67,38,22,72,31,2,73,106
2024,Men,3,2024/7/5,Quarter_Finals,Linyi,China,Ukraine,Chile,3,1,20,25,25,25,-,25,23,19,19,-,1,8/22 (36%),12/23 (52%),13,10,2,1,-,10,7,11,28,2,3,4,9,1,3,17,21,6,1,15,22,4,10,19,9,0,18,27
2024,Men,3,2024/7/5,Quarter_Finals,Linyi,China,Ukraine,Chile,3,1,20,25,25,25,-,25,23,19,19,-,2,7/24 (29%),18/24 (75%),15,11,2,2,-,11,4,7,22,2,9,7,18,2,4,18,24,3,0,12,15,11,3,16,6,2,18,26
2024,Men,3,2024/7/5,Quarter_Finals,Linyi,China,Ukraine,Chile,3,1,20,25,25,25,-,25,23,19,19,-,3,12/25 (48%),13/19 (68%),15,13,2,0,-,13,3,15,31,2,7,7,16,0,5,20,25,5,0,10,15,15,3,22,7,0,23,30
2024,Men,3,2024/7/5,Quarter_Finals,Linyi,China,Ukraine,Chile,3,1,20,25,25,25,-,25,23,19,19,-,4,12/25 (48%),13/19 (68%),14,11,1,2,-,11,5,8,24,1,3,5,9,2,3,19,24,4,1,10,15,8,6,15,9,0,14,23
2024,Men,3,2024/7/5,Quarter_Finals,Linyi,China,Chile,Ukraine,1,3,25,23,19,19,-,20,25,25,25,-,ALL,29/85 (34%),57/96 (59%),59,47,10,2,-,47,21,50,118,10,12,21,43,2,21,65,88,12,5,60,77,45,25,76,31,3,83,117
2024,Men,3,2024/7/5,Quarter_Finals,Linyi,China,Chile,Ukraine,1,3,25,23,19,19,-,20,25,25,25,-,1,11/23 (48%),14/22 (64%),18,14,3,1,-,14,5,10,29,3,5,6,14,1,3,21,25,2,1,14,17,11,3,15,9,1,18,28
2024,Men,3,2024/7/5,Quarter_Finals,Linyi,China,Chile,Ukraine,1,3,25,23,19,19,-,20,25,25,25,-,2,6/24 (25%),17/24 (71%),15,12,3,0,-,12,3,15,30,3,2,4,9,0,9,15,24,3,2,15,20,11,7,18,6,0,23,29
2024,Men,3,2024/7/5,Quarter_Finals,Linyi,China,Chile,Ukraine,1,3,25,23,19,19,-,20,25,25,25,-,3,6/19 (32%),13/25 (52%),12,11,1,0,-,11,8,16,35,1,3,7,11,0,4,15,19,4,0,16,20,16,8,27,9,0,25,34
2024,Men,3,2024/7/5,Quarter_Finals,Linyi,China,Chile,Ukraine,1,3,25,23,19,19,-,20,25,25,25,-,4,6/19 (32%),13/25 (52%),14,10,3,1,-,10,5,9,24,3,2,4,9,1,5,14,20,3,2,15,20,7,7,16,7,2,17,26
2024,Men,4,2024/7/5,Quarter_Finals,Linyi,China,Egypt,Qatar,3,2,25,23,27,20,15,16,25,25,25,13,ALL,33/108 (31%),76/105 (72%),77,58,16,3,-,58,18,46,122,16,22,16,54,3,13,94,110,15,3,63,81,37,45,89,24,1,93,118
2024,Men,4,2024/7/5,Quarter_Finals,Linyi,China,Egypt,Qatar,3,2,25,23,27,20,15,16,25,25,25,13,1,10/23 (43%),14/17 (82%),15,10,5,0,-,10,3,6,19,5,3,3,11,0,2,22,24,5,0,6,11,7,8,16,4,0,13,17
2024,Men,4,2024/7/5,Quarter_Finals,Linyi,China,Egypt,Qatar,3,2,25,23,27,20,15,16,25,25,25,13,2,5/24 (21%),18/24 (75%),18,17,0,1,-,17,5,9,31,0,5,3,8,1,1,22,24,2,1,18,21,10,11,23,6,0,23,29
2024,Men,4,2024/7/5,Quarter_Finals,Linyi,China,Egypt,Qatar,3,2,25,23,27,20,15,16,25,25,25,13,3,10/26 (38%),17/26 (65%),20,15,5,0,-,15,4,18,37,5,5,7,17,0,3,23,26,5,0,17,22,9,13,24,6,0,31,37
2024,Men,4,2024/7/5,Quarter_Finals,Linyi,China,Egypt,Qatar,3,2,25,23,27,20,15,16,25,25,25,13,4,4/21 (19%),16/24 (67%),12,8,3,1,-,8,6,10,24,3,5,2,10,1,4,16,21,0,1,16,17,8,9,18,6,0,18,24
2024,Men,4,2024/7/5,Quarter_Finals,Linyi,China,Egypt,Qatar,3,2,25,23,27,20,15,16,25,25,25,13,5,4/14 (29%),11/14 (79%),12,8,3,1,-,8,0,3,11,3,4,1,8,1,3,11,15,3,1,6,10,3,4,8,2,1,8,11
2024,Men,4,2024/7/5,Quarter_Finals,Linyi,China,Qatar,Egypt,2,3,16,25,25,25,13,25,23,27,20,15,ALL,29/105 (28%),75/108 (69%),85,69,13,3,-,69,22,39,130,13,27,17,57,3,23,78,104,13,3,81,97,36,29,76,42,2,88,132
2024,Men,4,2024/7/5,Quarter_Finals,Linyi,China,Qatar,Egypt,2,3,16,25,25,25,13,25,23,27,20,15,1,3/17 (18%),13/23 (57%),13,11,2,0,-,11,8,5,24,2,4,0,6,0,6,11,17,4,0,18,22,4,8,15,12,0,14,26
2024,Men,4,2024/7/5,Quarter_Finals,Linyi,China,Qatar,Egypt,2,3,16,25,25,25,13,25,23,27,20,15,2,6/24 (25%),19/24 (79%),22,18,3,1,-,18,0,8,26,3,9,2,14,1,3,20,24,6,1,16,23,6,7,18,9,1,18,28
2024,Men,4,2024/7/5,Quarter_Finals,Linyi,China,Qatar,Egypt,2,3,16,25,25,25,13,25,23,27,20,15,3,9/26 (35%),16/26 (62%),22,18,4,0,-,18,8,14,40,4,9,11,24,0,4,22,26,0,0,23,23,14,5,20,9,0,31,40
2024,Men,4,2024/7/5,Quarter_Finals,Linyi,China,Qatar,Egypt,2,3,16,25,25,25,13,25,23,27,20,15,4,8/24 (33%),17/21 (81%),19,14,4,1,-,14,3,8,25,4,2,4,10,1,7,16,24,2,1,14,17,9,5,15,6,1,17,24
2024,Men,4,2024/7/5,Quarter_Finals,Linyi,China,Qatar,Egypt,2,3,16,25,25,25,13,25,23,27,20,15,5,3/14 (21%),10/14 (71%),9,8,0,1,-,8,3,4,15,0,3,0,3,1,3,9,13,1,1,10,12,3,4,8,6,0,8,14
2024,Men,5,2024/7/6,Semifinals,Linyi,China,China,Egypt,3,0,25,27,25,-,-,15,25,19,-,-,ALL,32/73 (44%),42/54 (78%),51,38,8,5,-,38,11,28,77,8,14,13,35,5,10,60,75,5,4,36,45,31,16,53,30,0,43,73
2024,Men,5,2024/7/6,Semifinals,Linyi,China,China,Egypt,3,0,25,27,25,-,-,15,25,19,-,-,1,11/22 (50%),12/12 (100%),19,13,1,5,-,13,3,7,23,1,6,5,12,5,1,18,24,1,0,12,13,7,4,14,9,0,11,20
2024,Men,5,2024/7/6,Semifinals,Linyi,China,China,Egypt,3,0,25,27,25,-,-,15,25,19,-,-,2,10/26 (38%),16/23 (70%),19,13,6,0,-,13,6,14,33,6,4,5,15,0,6,21,27,2,1,16,19,14,7,22,13,0,20,33
2024,Men,5,2024/7/6,Semifinals,Linyi,China,China,Egypt,3,0,25,27,25,-,-,15,25,19,-,-,3,11/25 (44%),14/19 (74%),13,12,1,0,-,12,2,7,21,1,4,3,8,0,3,21,24,2,3,8,13,10,5,17,8,0,12,20
2024,Men,5,2024/7/6,Semifinals,Linyi,China,Egypt,China,0,3,15,25,19,-,-,25,27,25,-,-,ALL,12/54 (22%),41/73 (56%),44,33,7,4,-,33,16,33,82,7,19,11,37,4,16,41,61,12,5,48,65,21,19,49,21,1,60,82
2024,Men,5,2024/7/6,Semifinals,Linyi,China,Egypt,China,0,3,15,25,19,-,-,25,27,25,-,-,1,0/12 (0%),11/22 (50%),12,11,1,0,-,11,3,10,24,1,7,2,10,0,3,13,16,1,5,17,23,7,6,15,3,1,21,25
2024,Men,5,2024/7/6,Semifinals,Linyi,China,Egypt,China,0,3,15,25,19,-,-,25,27,25,-,-,2,7/23 (30%),16/26 (62%),16,11,4,1,-,11,8,12,31,4,5,7,16,1,6,18,25,3,0,18,21,7,8,21,10,0,19,29
2024,Men,5,2024/7/6,Semifinals,Linyi,China,Egypt,China,0,3,15,25,19,-,-,25,27,25,-,-,3,5/19 (26%),14/25 (56%),16,11,2,3,-,11,5,11,27,2,7,2,11,3,7,10,20,8,0,13,21,7,5,13,8,0,20,28
2024,Men,6,2024/7/6,Semifinals,Linyi,China,Ukraine,Belgium,2,3,25,25,15,21,11,21,20,25,25,15,ALL,26/94 (28%),67/104 (64%),66,54,7,5,-,54,23,42,119,7,27,30,64,5,18,75,98,25,3,58,86,32,23,62,43,2,74,119
2024,Men,6,2024/7/6,Semifinals,Linyi,China,Ukraine,Belgium,2,3,25,25,15,21,11,21,20,25,25,15,1,9/25 (36%),16/21 (76%),15,14,0,1,-,14,3,15,32,0,8,8,16,1,3,21,25,5,0,9,14,16,5,21,11,0,20,31
2024,Men,6,2024/7/6,Semifinals,Linyi,China,Ukraine,Belgium,2,3,25,25,15,21,11,21,20,25,25,15,2,12/24 (50%),12/21 (57%),18,11,5,2,-,11,4,6,21,5,4,10,19,2,4,18,24,4,0,15,19,4,4,9,8,1,14,23
2024,Men,6,2024/7/6,Semifinals,Linyi,China,Ukraine,Belgium,2,3,25,25,15,21,11,21,20,25,25,15,3,3/15 (20%),11/22 (50%),12,10,1,1,-,10,5,9,24,1,4,3,8,1,4,11,16,4,2,15,21,4,8,13,9,0,15,24
2024,Men,6,2024/7/6,Semifinals,Linyi,China,Ukraine,Belgium,2,3,25,25,15,21,11,21,20,25,25,15,4,0/19 (0%),19/25 (76%),14,13,1,0,-,13,6,7,26,1,7,6,14,0,5,16,21,9,1,9,19,5,4,12,9,1,16,26
2024,Men,6,2024/7/6,Semifinals,Linyi,China,Ukraine,Belgium,2,3,25,25,15,21,11,21,20,25,25,15,5,2/11 (18%),9/15 (60%),7,6,0,1,-,6,5,5,16,0,4,3,7,1,2,9,12,3,0,10,13,3,2,7,6,0,9,15
2024,Men,6,2024/7/6,Semifinals,Linyi,China,Belgium,Ukraine,3,2,21,20,25,25,15,25,25,15,21,11,ALL,37/104 (36%),68/94 (72%),72,59,10,3,-,59,18,48,125,10,28,17,55,3,19,83,105,22,5,53,80,36,20,64,15,0,107,122
2024,Men,6,2024/7/6,Semifinals,Linyi,China,Belgium,Ukraine,3,2,21,20,25,25,15,25,25,15,21,11,1,5/21 (24%),16/25 (64%),17,15,2,0,-,15,3,15,33,2,7,5,14,0,7,14,21,5,1,16,22,10,6,21,6,0,26,32
2024,Men,6,2024/7/6,Semifinals,Linyi,China,Belgium,Ukraine,3,2,21,20,25,25,15,25,25,15,21,11,2,9/21 (43%),12/24 (50%),10,10,0,0,-,10,10,14,34,0,7,1,8,0,2,19,21,6,2,12,20,8,1,9,4,0,28,32
2024,Men,6,2024/7/6,Semifinals,Linyi,China,Belgium,Ukraine,3,2,21,20,25,25,15,25,25,15,21,11,3,11/22 (50%),12/15 (80%),19,14,3,2,-,14,1,4,19,3,4,5,12,2,3,19,24,2,1,9,12,7,5,13,1,0,18,19
2024,Men,6,2024/7/6,Semifinals,Linyi,China,Belgium,Ukraine,3,2,21,20,25,25,15,25,25,15,21,11,4,6/25 (24%),19/19 (100%),15,12,2,1,-,12,1,10,23,2,6,5,13,1,6,18,25,5,0,11,16,4,6,11,2,0,20,22
2024,Men,6,2024/7/6,Semifinals,Linyi,China,Belgium,Ukraine,3,2,21,20,25,25,15,25,25,15,21,11,5,6/15 (40%),9/11 (82%),11,8,3,0,-,8,3,5,16,3,4,1,8,0,1,13,14,4,1,5,10,7,2,10,2,0,15,17
2024,Men,7,2024/7/7,Final_3rd-4th,Linyi,China,Egypt,Ukraine,3,2,21,25,20,25,15,25,20,25,17,13,ALL,36/103 (35%),67/97 (69%),76,48,17,11,-,48,16,41,105,17,29,17,63,11,17,78,106,16,5,56,77,32,25,64,25,3,76,104
2024,Men,7,2024/7/7,Final_3rd-4th,Linyi,China,Egypt,Ukraine,3,2,21,25,20,25,15,25,20,25,17,13,1,7/22 (32%),14/24 (58%),15,12,2,1,-,12,3,9,24,2,10,7,19,1,4,17,22,5,2,12,19,9,4,14,7,1,17,25
2024,Men,7,2024/7/7,Final_3rd-4th,Linyi,China,Egypt,Ukraine,3,2,21,25,20,25,15,25,20,25,17,13,2,7/24 (29%),18/21 (86%),18,14,3,1,-,14,1,8,23,3,6,3,12,1,1,22,24,4,1,9,14,7,7,18,6,1,14,21
2024,Men,7,2024/7/7,Final_3rd-4th,Linyi,China,Egypt,Ukraine,3,2,21,25,20,25,15,25,20,25,17,13,3,7/20 (35%),12/22 (55%),13,8,4,1,-,8,6,11,25,4,8,3,15,1,4,16,21,4,1,13,18,9,4,15,4,1,22,27
2024,Men,7,2024/7/7,Final_3rd-4th,Linyi,China,Egypt,Ukraine,3,2,21,25,20,25,15,25,20,25,17,13,4,11/24 (46%),14/18 (78%),19,9,3,7,-,9,5,4,18,3,3,1,7,7,5,12,24,2,0,11,13,4,4,8,5,0,11,16
2024,Men,7,2024/7/7,Final_3rd-4th,Linyi,China,Egypt,Ukraine,3,2,21,25,20,25,15,25,20,25,17,13,5,4/13 (31%),9/12 (75%),11,5,5,1,-,5,1,9,15,5,2,3,10,1,3,11,15,1,1,11,13,3,6,9,3,0,12,15
2024,Men,7,2024/7/7,Final_3rd-4th,Linyi,China,Ukraine,Egypt,2,3,25,20,25,17,13,21,25,20,25,15,ALL,30/97 (31%),67/103 (65%),69,55,9,5,-,55,22,41,118,9,12,19,40,5,22,73,100,15,11,63,89,38,29,72,43,3,69,115
2024,Men,7,2024/7/7,Final_3rd-4th,Linyi,China,Ukraine,Egypt,2,3,25,20,25,17,13,21,25,20,25,15,1,10/24 (42%),15/22 (68%),15,12,1,2,-,12,2,13,27,1,3,3,7,2,5,17,24,2,1,15,18,9,7,18,5,1,22,28
2024,Men,7,2024/7/7,Final_3rd-4th,Linyi,China,Ukraine,Egypt,2,3,25,20,25,17,13,21,25,20,25,15,2,3/21 (14%),17/24 (71%),18,16,1,1,-,16,4,10,30,1,4,3,8,1,6,14,21,6,1,16,23,8,8,18,9,0,19,28
2024,Men,7,2024/7/7,Final_3rd-4th,Linyi,China,Ukraine,Egypt,2,3,25,20,25,17,13,21,25,20,25,15,3,10/22 (45%),13/20 (65%),17,12,4,1,-,12,5,9,26,4,1,8,13,1,6,17,24,3,1,13,17,10,5,16,13,0,12,25
2024,Men,7,2024/7/7,Final_3rd-4th,Linyi,China,Ukraine,Egypt,2,3,25,20,25,17,13,21,25,20,25,15,4,4/18 (22%),13/24 (54%),10,7,3,0,-,7,3,3,13,3,1,2,6,0,5,13,18,2,7,10,19,2,8,10,6,1,5,12
2024,Men,7,2024/7/7,Final_3rd-4th,Linyi,China,Ukraine,Egypt,2,3,25,20,25,17,13,21,25,20,25,15,5,3/12 (25%),9/13 (69%),9,8,0,1,-,8,8,6,22,0,3,3,6,1,0,12,13,2,1,9,12,9,1,10,10,1,11,22
2024,Men,8,2024/7/7,Final_1st-2nd,Linyi,China,China,Belgium,3,1,25,25,22,25,-,20,20,25,22,-,ALL,38/96 (40%),59/88 (67%),73,54,16,3,-,54,13,40,107,16,29,20,65,3,16,77,96,7,6,60,73,30,19,53,29,1,77,107
2024,Men,8,2024/7/7,Final_1st-2nd,Linyi,China,China,Belgium,3,1,25,25,22,25,-,20,20,25,22,-,1,11/24 (46%),14/21 (67%),19,16,3,0,-,16,4,7,27,3,5,7,15,0,3,21,24,3,4,12,19,10,3,14,8,0,19,27
2024,Men,8,2024/7/7,Final_1st-2nd,Linyi,China,China,Belgium,3,1,25,25,22,25,-,20,20,25,22,-,2,12/25 (48%),13/20 (65%),16,10,5,1,-,10,2,10,22,5,8,3,16,1,2,22,25,1,1,12,14,7,6,14,4,1,17,22
2024,Men,8,2024/7/7,Final_1st-2nd,Linyi,China,China,Belgium,3,1,25,25,22,25,-,20,20,25,22,-,3,6/23 (26%),16/24 (67%),18,16,1,1,-,16,4,10,30,1,5,5,11,1,6,15,22,2,1,18,21,6,7,15,11,0,19,30
2024,Men,8,2024/7/7,Final_1st-2nd,Linyi,China,China,Belgium,3,1,25,25,22,25,-,20,20,25,22,-,4,9/24 (38%),16/23 (70%),20,12,7,1,-,12,3,13,28,7,11,5,23,1,5,19,25,1,0,18,19,7,3,10,6,0,22,28
2024,Men,8,2024/7/7,Final_1st-2nd,Linyi,China,Belgium,China,1,3,20,20,25,22,-,25,25,22,25,-,ALL,29/88 (33%),58/96 (60%),64,50,8,6,-,50,24,38,112,8,18,23,49,6,14,68,88,19,3,58,80,26,34,65,17,0,92,109
2024,Men,8,2024/7/7,Final_1st-2nd,Linyi,China,Belgium,China,1,3,20,20,25,22,-,25,25,22,25,-,1,7/21 (33%),13/24 (54%),15,9,2,4,-,9,6,12,27,2,6,4,12,4,2,15,21,5,0,16,21,4,8,13,4,0,23,27
2024,Men,8,2024/7/7,Final_1st-2nd,Linyi,China,Belgium,China,1,3,20,20,25,22,-,25,25,22,25,-,2,7/20 (35%),13/25 (52%),16,14,1,1,-,14,8,6,28,1,5,6,12,1,5,14,20,5,1,17,23,8,6,14,2,0,26,28
2024,Men,8,2024/7/7,Final_1st-2nd,Linyi,China,Belgium,China,1,3,20,20,25,22,-,25,25,22,25,-,3,8/24 (33%),17/23 (74%),18,14,3,1,-,14,1,9,24,3,5,7,15,1,4,20,25,5,1,10,16,6,11,20,7,0,16,23
2024,Men,8,2024/7/7,Final_1st-2nd,Linyi,China,Belgium,China,1,3,20,20,25,22,-,25,25,22,25,-,4,7/23 (30%),15/24 (63%),15,13,2,0,-,13,9,11,33,2,2,6,10,0,3,19,22,4,1,15,20,8,9,18,4,0,27,31
2024,Women,1,2024/7/4,Quarter_Finals,Manila,Philippines,Puerto Rico,Kenya,3,0,25,25,27,-,-,20,19,25,-,-,ALL,34/76 (45%),43/65 (66%),54,45,2,7,-,45,17,58,120,2,18,18,38,7,2,67,76,11,1,46,58,54,20,95,23,1,98,122
2024,Women,1,2024/7/4,Quarter_Finals,Manila,Philippines,Puerto Rico,Kenya,3,0,25,25,27,-,-,20,19,25,-,-,1,13/25 (52%),12/20 (60%),12,11,0,1,-,11,6,14,31,0,7,6,13,1,2,22,25,4,0,12,16,14,3,23,5,0,26,31
2024,Women,1,2024/7/4,Quarter_Finals,Manila,Philippines,Puerto Rico,Kenya,3,0,25,25,27,-,-,20,19,25,-,-,2,11/24 (46%),14/20 (70%),19,15,1,3,-,15,4,20,39,1,4,10,15,3,0,21,24,3,1,14,18,18,8,31,10,0,28,38
2024,Women,1,2024/7/4,Quarter_Finals,Manila,Philippines,Puerto Rico,Kenya,3,0,25,25,27,-,-,20,19,25,-,-,3,10/27 (37%),17/25 (68%),23,19,1,3,-,19,7,24,50,1,7,2,10,3,0,24,27,4,0,20,24,22,9,41,8,1,44,53
2024,Women,1,2024/7/4,Quarter_Finals,Manila,Philippines,Kenya,Puerto Rico,0,3,20,19,25,-,-,25,25,27,-,-,ALL,22/65 (34%),42/76 (55%),50,43,6,1,-,43,15,57,115,6,16,26,48,1,7,57,65,5,7,62,74,46,25,91,13,3,95,111
2024,Women,1,2024/7/4,Quarter_Finals,Manila,Philippines,Kenya,Puerto Rico,0,3,20,19,25,-,-,25,25,27,-,-,1,8/20 (40%),12/25 (48%),14,12,2,0,-,12,8,16,36,2,3,6,11,0,4,16,20,3,1,19,23,15,7,28,5,1,30,36
2024,Women,1,2024/7/4,Quarter_Finals,Manila,Philippines,Kenya,Puerto Rico,0,3,20,19,25,-,-,25,25,27,-,-,2,6/20 (30%),13/24 (54%),17,14,2,1,-,14,5,21,40,2,4,10,16,1,2,17,20,1,3,20,24,16,9,30,7,0,31,38
2024,Women,1,2024/7/4,Quarter_Finals,Manila,Philippines,Kenya,Puerto Rico,0,3,20,19,25,-,-,25,25,27,-,-,3,8/25 (32%),17/27 (63%),19,17,2,0,-,17,2,20,39,2,9,10,21,0,1,24,25,1,3,23,27,15,9,33,1,2,34,37
2024,Women,2,2024/7/4,Quarter_Finals,Manila,Philippines,Belgium,Sweden,3,0,25,25,25,-,-,16,23,22,-,-,ALL,33/73 (45%),42/63 (67%),53,39,9,5,-,39,12,50,101,9,13,26,48,5,4,65,74,10,1,45,56,41,27,77,22,2,72,96
2024,Women,2,2024/7/4,Quarter_Finals,Manila,Philippines,Belgium,Sweden,3,0,25,25,25,-,-,16,23,22,-,-,1,14/24 (58%),11/17 (65%),16,13,2,1,-,13,3,24,40,2,1,9,12,1,1,23,25,4,1,9,14,21,9,33,11,0,24,35
2024,Women,2,2024/7/4,Quarter_Finals,Manila,Philippines,Belgium,Sweden,3,0,25,25,25,-,-,16,23,22,-,-,2,11/25 (44%),14/23 (61%),20,14,3,3,-,14,5,18,37,3,6,11,20,3,1,21,25,2,0,22,24,13,9,27,6,1,30,37
